subject,part,condition,window_start,window_end,ch1,ch2,n_epochs,sig_freqs
D0090,lpfc,Stimulus,-1.0,-0.5,RIA13-RIA14,RIA15-RIA16,450,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0090,lpfc,Stimulus,-1.0,-0.5,RIA13-RIA14,RIP7-RIP8,450,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17"
D0090,lpfc,Stimulus,0.0,0.5,RIA13-RIA14,RIA15-RIA16,450,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0090,lpfc,Stimulus,0.0,0.5,RIA13-RIA14,RIP7-RIP8,450,"3.00,3.62,3.83,4.04,4.25"
D0090,lpfc,Stimulus,0.5,1.0,RIA13-RIA14,RIA15-RIA16,450,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0090,lpfc,Stimulus,0.5,1.0,RIA13-RIA14,RIP7-RIP8,450,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.67,4.88,5.08,5.29,7.17,7.38"
