subject,condition,part,ch1,ch2,window_start,window_end,n_epochs_in_window,coh_mean
D0121,stimulus_i,lpfc,LFOA14-LFOA15,LFO4-LFO5,-1.0,-0.5,194,
D0121,stimulus_i,lpfc,LFOA14-LFOA15,LFO5-LFO6,-1.0,-0.5,194,
D0121,stimulus_i,lpfc,LFOA14-LFOA15,LFO6-LFO7,-1.0,-0.5,194,0.43383433759291357
D0121,stimulus_i,lpfc,LFOA14-LFOA15,LFO7-LFO8,-1.0,-0.5,194,0.5467336164073213
D0121,stimulus_i,lpfc,LFOA14-LFOA15,LFO8-LFO9,-1.0,-0.5,194,
D0121,stimulus_i,lpfc,LFOA14-LFOA15,LFO9-LFO10,-1.0,-0.5,194,
D0121,stimulus_i,lpfc,LFOA14-LFOA15,LFO11-LFO12,-1.0,-0.5,194,0.2258102940115
D0121,stimulus_i,lpfc,LFOA14-LFOA15,LFO12-LFO13,-1.0,-0.5,194,0.5000343240564581
D0121,stimulus_i,lpfc,LFOA14-LFOA15,LFO13-LFO14,-1.0,-0.5,194,0.7645516260266141
D0121,stimulus_i,lpfc,LFOA14-LFOA15,LFO14-LFO15,-1.0,-0.5,194,0.4378178111562654
D0121,stimulus_i,lpfc,LFOA14-LFOA15,LFO15-LFO16,-1.0,-0.5,194,0.2501454719457503
D0121,stimulus_i,lpfc,LFOA14-LFOA15,LFO16-LFO17,-1.0,-0.5,194,0.572200581734993
D0121,stimulus_i,lpfc,LFOA14-LFOA15,LFO17-LFO18,-1.0,-0.5,194,0.34752590402526634
D0121,stimulus_i,lpfc,LFOA14-LFOA15,LFOP11-LFOP12,-1.0,-0.5,194,
D0121,stimulus_i,lpfc,LFOA14-LFOA15,LFOP12-LFOP13,-1.0,-0.5,194,
D0121,stimulus_i,lpfc,LFOA14-LFOA15,LFOP13-LFOP14,-1.0,-0.5,194,0.2702416734600845
D0121,stimulus_i,lpfc,LFOA14-LFOA15,LFOP14-LFOP15,-1.0,-0.5,194,0.34681443722769684
