subject,condition,part,ch1,ch2,window_start,window_end,n_epochs_in_window,coh_mean
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LMMF9-LMMF10,-1.0,-0.5,111,
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LMMF10-LMMF11,-1.0,-0.5,111,0.6051160858847504
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LMMF11-LMMF12,-1.0,-0.5,111,
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LPSF15-LPSF16,-1.0,-0.5,111,0.20922591081684738
D0059,stimulus_blockD,lpfc,LMMF9-LMMF10,LMMF10-LMMF11,-1.0,-0.5,111,
D0059,stimulus_blockD,lpfc,LMMF9-LMMF10,LMMF11-LMMF12,-1.0,-0.5,111,
D0059,stimulus_blockD,lpfc,LMMF9-LMMF10,LPSF15-LPSF16,-1.0,-0.5,111,
D0059,stimulus_blockD,lpfc,LMMF10-LMMF11,LMMF11-LMMF12,-1.0,-0.5,111,
D0059,stimulus_blockD,lpfc,LMMF10-LMMF11,LPSF15-LPSF16,-1.0,-0.5,111,0.2655012205510381
D0059,stimulus_blockD,lpfc,LMMF11-LMMF12,LPSF15-LPSF16,-1.0,-0.5,111,
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LMMF9-LMMF10,-0.5,0.0,111,
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LMMF10-LMMF11,-0.5,0.0,111,0.5644810608710342
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LMMF11-LMMF12,-0.5,0.0,111,
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LPSF15-LPSF16,-0.5,0.0,111,0.19605535982772568
D0059,stimulus_blockD,lpfc,LMMF9-LMMF10,LMMF10-LMMF11,-0.5,0.0,111,
D0059,stimulus_blockD,lpfc,LMMF9-LMMF10,LMMF11-LMMF12,-0.5,0.0,111,
D0059,stimulus_blockD,lpfc,LMMF9-LMMF10,LPSF15-LPSF16,-0.5,0.0,111,
D0059,stimulus_blockD,lpfc,LMMF10-LMMF11,LMMF11-LMMF12,-0.5,0.0,111,
D0059,stimulus_blockD,lpfc,LMMF10-LMMF11,LPSF15-LPSF16,-0.5,0.0,111,0.2710879057410222
D0059,stimulus_blockD,lpfc,LMMF11-LMMF12,LPSF15-LPSF16,-0.5,0.0,111,
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LMMF9-LMMF10,0.0,0.5,111,
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LMMF10-LMMF11,0.0,0.5,111,0.47028443382521246
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LMMF11-LMMF12,0.0,0.5,111,
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LPSF15-LPSF16,0.0,0.5,111,0.2685081601563952
D0059,stimulus_blockD,lpfc,LMMF9-LMMF10,LMMF10-LMMF11,0.0,0.5,111,
D0059,stimulus_blockD,lpfc,LMMF9-LMMF10,LMMF11-LMMF12,0.0,0.5,111,
D0059,stimulus_blockD,lpfc,LMMF9-LMMF10,LPSF15-LPSF16,0.0,0.5,111,
D0059,stimulus_blockD,lpfc,LMMF10-LMMF11,LMMF11-LMMF12,0.0,0.5,111,
D0059,stimulus_blockD,lpfc,LMMF10-LMMF11,LPSF15-LPSF16,0.0,0.5,111,0.3019980170678109
D0059,stimulus_blockD,lpfc,LMMF11-LMMF12,LPSF15-LPSF16,0.0,0.5,111,
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LMMF9-LMMF10,0.5,1.0,111,
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LMMF10-LMMF11,0.5,1.0,111,0.2508374121067133
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LMMF11-LMMF12,0.5,1.0,111,
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LPSF15-LPSF16,0.5,1.0,111,0.42433605445538136
D0059,stimulus_blockD,lpfc,LMMF9-LMMF10,LMMF10-LMMF11,0.5,1.0,111,
D0059,stimulus_blockD,lpfc,LMMF9-LMMF10,LMMF11-LMMF12,0.5,1.0,111,
D0059,stimulus_blockD,lpfc,LMMF9-LMMF10,LPSF15-LPSF16,0.5,1.0,111,
D0059,stimulus_blockD,lpfc,LMMF10-LMMF11,LMMF11-LMMF12,0.5,1.0,111,
D0059,stimulus_blockD,lpfc,LMMF10-LMMF11,LPSF15-LPSF16,0.5,1.0,111,0.3668376498067446
D0059,stimulus_blockD,lpfc,LMMF11-LMMF12,LPSF15-LPSF16,0.5,1.0,111,
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LMMF9-LMMF10,1.0,1.5,111,
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LMMF10-LMMF11,1.0,1.5,111,0.3771057738961294
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LMMF11-LMMF12,1.0,1.5,111,
D0059,stimulus_blockD,lpfc,LMMF8-LMMF9,LPSF15-LPSF16,1.0,1.5,111,0.31378275364470976
D0059,stimulus_blockD,lpfc,LMMF9-LMMF10,LMMF10-LMMF11,1.0,1.5,111,
D0059,stimulus_blockD,lpfc,LMMF9-LMMF10,LMMF11-LMMF12,1.0,1.5,111,
D0059,stimulus_blockD,lpfc,LMMF9-LMMF10,LPSF15-LPSF16,1.0,1.5,111,
D0059,stimulus_blockD,lpfc,LMMF10-LMMF11,LMMF11-LMMF12,1.0,1.5,111,
D0059,stimulus_blockD,lpfc,LMMF10-LMMF11,LPSF15-LPSF16,1.0,1.5,111,0.3088179123403367
D0059,stimulus_blockD,lpfc,LMMF11-LMMF12,LPSF15-LPSF16,1.0,1.5,111,
